title,price,location,address,distancia_m,details,link,descripcion
"Apartamento en Arriendo en Turingia et. ii, Bogotá",$ 1.488.200,"Suba, Bogotá",CALLE 152 C No.  103 B -  40,2743,3 Habs. 2 Baños62 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-turingia-et-ii-bogota/192616673,"Apartamento  excelente ubicacion, amplio, iluminado, tres hbitaciones con closet, dos baños con division, sala comedor,cocina integral y zona de lavado"
"Apartamento en arriendo en Victoria norte, Bogotá",$ 1.637.000,"Suba, Bogotá","Calle 150a #48-36, Bogotá, Colombia",2192,1 Habs. 1 Baño50 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-victoria-norte-bogota/10278790,"VICTORIA NORTE APARTAESTUDIO AMPLIO ILUMINADO EXTERIOR A DOS CUADRAS DE AUTOPISTA NORTE ESTACION DE TRANSMILENIO MAZUREN, EN ZONA RESIDENCIAL Y COMERCIAL, CUENTA CON SALA COMEDOR, UNA HABITACION CON CLOSET, UN BAÑO COMPLETO , COCINA INTEGRAL A GAS , ZONA DE LAVANDERIA, EN TERCER PISO SIN ASCENSOR, CON PARQUEADERO CUBIERTO"
"Apartamento en Arriendo en Colina Campestre, Bogotá",$ 2.800.000,"Suba, Bogotá","Av. Boyacá #152B-90, Bogotá, Colombia",521,3 Habs. 2 Baños94 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/192544885,"APTO EN ARRIENDO COLINA CLUB RESIDENCIAL, área 96 mts, consta de habitación principal con baño, vestier y balcón privado, 2 habitaciones con closet, baño completo, estudio amplio, sala / comedor con chimenea y balcón, cocina integral, zona de ropas, parqueadero cubierto amplio (carro y moto), deposito pequeño // zonas comunes, salón social, piscina climatizada, BBQ, zona infantil, cancha squash, salón niños, gimnasio, zonas humedas, torre con 2 ascensores, parqueadero visitantes. PRECIO: $ 2.800.000 MÁS $ 500.000 ADMINISTRACIÓN."
"Apartamento en Arriendo en Colina Campestre, Bogotá",$ 2.800.000,"Suba, Bogotá",CARRERA 58 138- 40,1686,3 Habs. 2 Baños98 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/192614127,"Hermoso e iluminado apartamento en Colina Campestre. Área 98 Mtrs 6to piso con hermosa vista interior hacia el conjunto. 3 habitaciones, la principal con baño, 2 baños completos recién remodelados. Sala comedor independiente y área de estudio yo sala TV, cocina cerrada, zona de lavandería y 1 parqueadero. NO DEPOSITO. El conjunto cuenta con zonas verdes, parque infantil interior, parqueaderos de visitantes, vigilancia 247 con 2 porterías, salones sociales,  gimnasio, salón de juegos infantiles. La zona es muy residencial, pero a pocos pasos cuenta con parques, Centros comerciales como San Rafael, Portoalegre Parque de la Colina, bancos, iglesias, colegios, restaurantes, etc. Y lo mejor, estrato 5. 225-405"
"Apartamento en Arriendo en Prado pinzon, Bogotá",$ 2.000.000,"Suba, Bogotá",CR 53 144 15 AP  606 - EDIFICIO SAN RAFAEL 144 P.H.,2194,3 Habs. 2 Baños60 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-prado-pinzon-bogota/192588202,Apartamento Arriendo 60 mts Cundinamarca BOGOTÁ PRADO PINZON Código Coninsa:92463
"Apartamento en Arriendo en Ciudad salitre, Bogotá",$ 4.200.000,"Suba, Bogotá",CARRERA 55 22- 50,1960,3 Habs. 3 Baños100 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ciudad-salitre-bogota/192396252,"Bellísimo apartamento arriendo salitre, con magnífica ubicación muy cerca a la Fiscalía, cr 50, Av la Esperanza y centros comerciales, en conjunto cerrado con vigilancia 24 horas, CCTV, Recepción con Lobby, Parqueadero para visitantes,
Parque infantil, Torre social con Salón de recepciones, cancha de squash, Gimnasio, Oficina de administración, apartamento ubicado en piso 11, vista exterior al occidente de la ciudad y recibe en todo el apartamento el sol de la tarde ya que todos los espacios cuentan con luz natural, excelente distribución en sala comedor con chimenea, salida al balcón, 3 habitaciones, todas con clóset, principal con Vestier, 3 baños, 1 social, otro privado y uno para habitaciones, espacio para estudio, cocina integral abierta, zona de lavado,  cuenta con dos parqueaderos cubiertos en línea y depósito. Se arrienda sin amoblar en $4.200.000 y amoblado en $5.000.000, haz tu estudio digital en minutos, arrienda con nosotros.
118-3324"
"Apartamento en Arriendo en Suba la Campiña, Bogotá",$ 1.300.000,"Suba, Bogotá","Carrera 100 #148-57, Suba, Cundinamarca, Colombia",2365,2 Habs. 2 Baños45 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-suba-la-campiña-bogota/192613727,"Lindo apartamento localizado en el sector de Suba Refous, a corta distancia de la estación de Transmilenio La Campiña. Cuenta con dos alcobas, un estudio (o alcoba para un niño), dos baños, sala-comedor, cocina y zona de ropas."
"Apartamento en Arriendo en Cerros de Suba, Bogotá",$ 4.200.000,"Suba, Bogotá",CALLE 145 80- 10,1464,3 Habs. 2 Baños143 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-cerros-de-suba-bogota/192355576,"Apartamento en arriendo ubicado en Cerros de Suba, con un área de 143m², el inmueble cuenta con sala comedor con chimenea, Star de TV o 3era habitación con salida a terraza, estudio cerrado, 2 habitaciones principal con baño privado y salida a terraza, baño de alcobas, cocina integral cerrada con lavavajillas, zona de lavandería y cuarto y baño de servicio. Cuenta con 2 parqueaderos. En el conjunto encuentras cancha de tennis, parque infantil, ascensor, vigilancia 24/7, parqueadero para visitantes y zonas verdes. 1446-145"
"Apartamento en Arriendo en Colina Campestre, Bogotá",$ 3.980.000,"Suba, Bogotá","Carrera 54D 135 - 95,",2376,3 Habs. 2 Baños92 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/192466382,"Apartamento ubicado en la zona de colina campestre.  Cuenta con una terraza social privada, con vista al occidente y espacio para BBQ.  Es un lugar armónico entre la terraza y la sala comedor. Cuenta con chimenea tradicional, baño social, cocina integral remodelada, dos baños completos, uno para las dos habitaciones y el baño de la habitación principal. El apartamento se remodeló, la cocina, los baños y techos en el 2020.  Es un apartamento esquinero, donde cada espacio del apartamento tiene entrada de luz natural. Un parqueadero (opción de alquilar otro). Depósito. El conjunto cuenta con parqueaderos de visitantes, zona de juego de niños, salón social, gimnasio y sala de recepción en cada torre.  A unas cuadras se encuentra el centro comercial San Rafael."
"Apartamento en Arriendo en Mazuren, Bogotá",$ 1.550.000,"Suba, Bogotá","Cra. 50 #152-57, Bogotá, Colombia",1948,1 Habs. 1 Baño33 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-mazuren-bogota/192605727,APARTMANTO PEQUEÑO DE 30 MTS EN EXCELENTE CONJUNTO
"Apartamento en Arriendo en Colina Campestre, Bogotá",$ 4.600.000,"Suba, Bogotá",Cra. 72  bis   52B- 32,507,4 Habs. 4 Baños135 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/192599529,"ARRIENDO HERMOSO APARTAMENTO DUPLEX PISO 8 CONJUNTO TORRES DE SEVILLA II ubicado en sector exclusivo del noroccidente de BOGOTA ILUMINADO - VIGILANCIA 24-7 tiene 2 salones sociales, sauna, turco, parque infantil, piscina para niños, coworking - consta 1er NIVEL sala-comedor, cocina integral cerrada, 2 alcobas, 2 baños, 2 balcones, closets espaciosos y cómodos, para ingresar al 2do NIVEL se puede por área social y por la cocina al cuarto y baño de servicio más zona de lavandería independiente, con 2 calentadores, también en 2do nivel se encuentra ESTUDIO-BIBLIOTECA-STAR TV más ALCOBA PRINCIPAL con su baño, balcón, los pisos del apto son laminados, porcelanato, baldosa, baños enchapados, con divisiones vidrio templado, 2 parqueaderos en linea, gimnasio, alrededores ARTURO CALLE, PARQUE CENTRAL COLINA, EXITO WOW COLINA, DECATHLON LA COLINA etc., encuentra vías de acceso como AV BOYACA - CLL 170 - AV SUBA - calle 153 o AV LA SIRENA EN AMPLIACION etc. CITA PREVIA - ADMIRELO !!!!  760-742"
"Apartamento en Arriendo en Colina Campestre, Bogotá",$ 4.000.000,"Suba, Bogotá","Calle 152b #72 51, Bogotá, Colombia",490,3 Habs. 3 Baños118 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/192492955,"¡ARRIENDO APARTAMENTO EN EXCELENTE UBICACIÓN  ¡ZONA COLINA CAMPESTRE, BOGOTÁ! Ubicación estratégica y segura, a pocos pasos de Comando de la Policía de Suba, Centro Comercial Colina CC Colina, Éxito La Colina, Smart Fit La Colina, Parques, restaurantes, colegios y vías principales.  Área total de 118 m,  3 habitaciones amplias, todas con clóset,  3 baños completos 1 baño privado en la habitación principal,  Sala comedor en espacio bien iluminado, Estudio ideal para home office o sala de TV, Cocina integral con muebles modernos y excelente ventilación, Zona de ropas independiente, Calentador a gas, Balcón con vista exterior y excelente entrada de luz natural, Piso en madera laminada en áreas sociales, Ascensor, Gimnasio dotado, Parqueadero cubierto privado, Depósito amplio, Vigilancia 247, Recepción y lobby moderno, Parqueadero para visitantes"
"Apartamento en Arriendo en Colina Campestre, Bogotá",$ 2.700.000,"Suba, Bogotá",Carrera 73 #152 B -65,127,2 Habs. 2 Baños73 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/192589619,"Apartamento en arriendo, colina campestre, conjunto cerrado Ebano-Veramonte,  ubicado en el sector de Colina Campestre a pocas cuadras de la Avenida Boyacá y vías principales como la calle 138, calle 153 y la calle 170.  Este Proyecto residencial ofrece un completo club-house con piscina, gimnasio bien dotado, coworking, salas de juego, capilla, terraza con zona para BBQ, Guardería,. El apto tiene una muy buena distribución y acabados de primera. INF LUZ CORZO"
